a,b,fitness,generation
4.81705930807964,-3.6398243335870415,26.843884711143737,0
2.5821505463936356,1.4271572681298768,8.094658712370828,0
4.81705930807964,2.5377208445041965,25.741781222060894,0
1.0853725473328701,-1.3546105919406082,2.5326441584444517,0
6.1230831024131325,-0.5675018349778149,38.05964851403505,0
4.843939790945338,1.842668846702347,25.306421545005918,0
1.2093924303853965,-0.5675018349778149,2.030131885651311,0
4.843939790945338,1.842668846702347,25.306421545005918,0
1.2093924303853965,-0.5675018349778149,2.030131885651311,0
1.2093924303853965,-0.5675018349778149,2.030131885651311,0
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.072794033316412,-0.5675018349778149,1.71838887289711,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,1
1.2093924303853965,-0.5675018349778149,2.030131885651311,2
1.2093924303853965,-0.5675018349778149,2.030131885651311,2
1.072794033316412,-0.5675018349778149,1.71838887289711,2
1.072794033316412,-0.5675018349778149,1.71838887289711,2
1.2093924303853965,-0.5675018349778149,2.030131885651311,2
1.2093924303853965,-0.5675018349778149,2.030131885651311,2
1.2093924303853965,-0.5675018349778149,2.030131885651311,2
1.2093924303853965,3.3482856900481277,4.810915740721624,2
1.072794033316412,-0.5675018349778149,1.71838887289711,2
1.2093924303853965,-0.5675018349778149,2.030131885651311,2
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,0.4460307391588536,1.5969177770781486,3
1.2093924303853965,-0.5675018349778149,2.030131885651311,3
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,-0.5675018349778149,1.71838887289711,3
1.072794033316412,-0.1921926076268381,1.3430796455461331,4
3.970361187782112,-0.5675018349778149,16.3312697964244,4
7.405059944277902,-0.5675018349778149,55.402414613326854,4
1.072794033316412,-0.5675018349778149,1.71838887289711,4
1.072794033316412,0.4460307391588536,1.5969177770781486,4
1.072794033316412,1.3862422470912525,2.537129285010548,4
1.072794033316412,0.4460307391588536,1.5969177770781486,4
1.072794033316412,-0.5675018349778149,1.71838887289711,4
1.072794033316412,-0.5675018349778149,1.71838887289711,4
8.944040938002711,0.4460307391588536,80.44189903982728,4
1.072794033316412,0.4460307391588536,1.5969177770781486,5
1.072794033316412,0.4460307391588536,1.5969177770781486,5
1.072794033316412,-2.5589228348630133,3.7098098727823086,5
1.072794033316412,0.4460307391588536,1.5969177770781486,5
1.072794033316412,0.4460307391588536,1.5969177770781486,5
1.072794033316412,0.4460307391588536,1.5969177770781486,5
1.072794033316412,0.4460307391588536,1.5969177770781486,5
1.072794033316412,0.4460307391588536,1.5969177770781486,5
1.072794033316412,-0.5675018349778149,1.71838887289711,5
1.072794033316412,0.4460307391588536,1.5969177770781486,5
